,name,price,weight,price per kg,image url
15,Žitná kostka s vysokým obsahem vlákniny 70g,"7,90 Kč",70g,"112,86Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/418/0000000034418/ShotType1_225x225.jpg
16,Kobliha s náplní meruňkovou 65g,"7,90 Kč",65g,"112,86Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/473/0000000020473/ShotType1_225x225.jpg
17,Croissant se sýrem 50g,"8,90 Kč",50g,"178,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/382/0000000010382/ShotType1_225x225.jpg
18,Croissant máslový 47g,"8,90 Kč",47g,"189,36Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/849/0000000023849/ShotType1_225x225.jpg
19,Makovka 80g,"8,90 Kč",80g,"111,25Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/014/0000000014014/ShotType1_225x225.jpg
20,Meruňková kapsa 85g,"9,90 Kč",85g,"116,47Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/067/8590325061067/ShotType1_225x225.jpg
21,Šnek rozinkový s vanilkovým krémem 80g,"9,90 Kč",80g,"123,75Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/757/0000000010757/ShotType1_225x225.jpg
22,Rohlík sýrový s goudou 90g,"9,90 Kč",90g,"110,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/441/0000000030441/ShotType1_225x225.jpg
23,Šnek se skořicí 80g,"9,90 Kč",80g,"123,75Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/323/0000000022323/ShotType1_225x225.jpg
24,Sladká houska s mandlemi 80g,"9,90 Kč",80g,"123,75Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/177/0000000036177/ShotType1_225x225.jpg
25,Ciabatta s provensálským kořením 120g,"9,90 Kč",120g,"82,50Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/457/0000000024457/ShotType1_225x225.jpg
26,Pletenec se slaným karamelem 84g,"9,90 Kč",84g,"117,86Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/094/5413476995094/ShotType1_225x225.jpg
27,Rohlíček s mandlemi 80g,"9,90 Kč",80g,"123,75Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/730/0000000037730/ShotType1_225x225.jpg
28,Proteinová bageta s goji 110g,"9,90 Kč",110g,"90,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/059/0000000031059/ShotType1_225x225.jpg
29,Donut s polevou s příchutí čokoládovou 56g,"10,90 Kč",56g,"194,64Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/818/0000000010818/ShotType1_225x225.jpg
30,Donut s polevou s příchutí jahodovou 56g,"10,90 Kč",56g,"194,64Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/832/0000000010832/ShotType1_225x225.jpg
31,Kornbageta 115g,"10,90 Kč",115g,"94,78Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/819/0000000013819/ShotType1_225x225.jpg
32,Venkovská bageta 110g,"10,90 Kč",110g,"99,09Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/501/0000000024501/ShotType1_225x225.jpg
33,Rustikální bageta pohanka 120g,"10,90 Kč",120g,"90,83Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/298/0000000014298/ShotType1_225x225.jpg
34,Pagáč škvarkový 71g,"11,90 Kč",71g,"167,61Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/344/8588005685344/ShotType1_225x225.jpg
35,Ciabatta se sušenými rajčaty 120g,"11,90 Kč",120g,"99,17Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/439/0000000022439/ShotType1_225x225.jpg
36,Čokorolka s pudinkem 66g,"11,90 Kč",66g,"180,30Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/285/8588005131285/ShotType1_225x225.jpg
37,Bulka pizza 80g,"11,90 Kč",80g,"148,75Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/876/0000000021876/ShotType1_225x225.jpg
38,Multicereální croissant s máslem 65g,"11,90 Kč",65g,"183,08Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/932/5413476992932/ShotType1_225x225.jpg
39,Závitek s čokoládou a máslem 72g,"11,90 Kč",72g,"170,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/015/0000000033015/ShotType1_225x225.jpg
40,Mini Pizza slaninová 75g,"11,90 Kč",75g,"158,67Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/269/8588005685269/ShotType1_225x225.jpg
41,Mini Pizza šunková s kukuřicí 75g,"11,90 Kč",75g,"158,67Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/788/8588005685788/ShotType1_225x225.jpg
42,Pagáč sýrový 70g,"12,90 Kč",70g,"184,29Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/170/0000000035170/ShotType1_225x225.jpg
43,Chléb šumavský bochník 500g,"12,90 Kč",500g,"25,80Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/925/0000000013925/ShotType1_225x225.jpg
44,Špenátová taštička 90g,"12,90 Kč",90g,"161,25Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/303/0000000037303/ShotType1_225x225.jpg
45,Pletenec s javorovým sirupem 84g,"12,90 Kč",84g,"153,57Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/670/5413476977670/ShotType1_225x225.jpg
46,Koláč jablkový se skořicí a máslovou drobenkou 75g,"12,90 Kč",75g,"172,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/494/0000000034494/ShotType1_225x225.jpg
47,Koláč makový s máslovou drobenkou 75g,"12,90 Kč",75g,"172,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/170/0000000600170/ShotType1_225x225.jpg
48,Koláč tvarohový s máslovou drobenkou 75g,"12,90 Kč",75g,"172,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/163/0000000600163/ShotType1_225x225.jpg
49,Mřížka pudink a jahody 85g,"12,90 Kč",85g,"151,76Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/965/0000000035965/ShotType1_225x225.jpg
50,Špaldová bageta 120g,"13,90 Kč",120g,"115,83Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/238/0000000036238/ShotType1_225x225.jpg
